local,visitante,BP_LOCAL,BP_VISITA,peso_anio,peso_nivel,peso_fase,peso_ronda,LocalSuma,VisitaSuma
MORENO DE QUILMES,G.E DE LOMAS DE ZAMORA B,250.0,750.0,0.25,1.0,1,1,62.5,187.5
VILLA IDEAL,COLON FC,650.0,350.0,0.25,1.0,1,1,162.5,87.5
G.E DE LOMAS DE ZAMORA B,COLON FC,700.0,300.0,0.25,1.0,1,1,175.0,75.0
MORENO DE QUILMES,VILLA IDEAL,300.0,700.0,0.25,1.0,1,1,75.0,175.0
FERROCARRIL OESTE A,RIVER PLATE,700.0,300.0,0.25,2.0,1,2,700.0,300.0
DEFENSORES DE MORENO,MUNICIPALIDAD DE AVELLANEDA,0.0,700.0,0.25,1.0,1,2,0.0,350.0
SIERO BIBLIOTECA,LOS ANDES,300.0,700.0,0.25,1.0,1,2,150.0,350.0
TALLERES,BURZACO FC B,750.0,250.0,0.25,1.0,1,2,375.0,125.0
TALLERES,DEFENSORES DE MORENO,750.0,250.0,0.25,1.0,1,2,375.0,125.0
BURZACO FC B,SIERO BIBLIOTECA,750.0,250.0,0.25,1.0,1,2,375.0,125.0
LOS ANDES,MUNICIPALIDAD DE AVELLANEDA,750.0,250.0,0.25,1.0,1,2,375.0,125.0
DEFENSORES DE MORENO,LOS ANDES,250.0,750.0,0.25,1.0,1,2,125.0,375.0
MUNICIPALIDAD DE AVELLANEDA,BURZACO FC B,650.0,350.0,0.25,1.0,1,2,325.0,175.0
SIERO BIBLIOTECA,TALLERES,300.0,700.0,0.25,1.0,1,2,150.0,350.0
SIERO BIBLIOTECA,DEFENSORES DE MORENO,350.0,650.0,0.25,1.0,1,2,175.0,325.0
TALLERES,MUNICIPALIDAD DE AVELLANEDA,750.0,250.0,0.25,1.0,1,2,375.0,125.0
BURZACO FC B,LOS ANDES,250.0,750.0,0.25,1.0,1,2,125.0,375.0
DEFENSORES DE MORENO,BURZACO FC B,750.0,250.0,0.25,1.0,1,2,375.0,125.0
LOS ANDES,TALLERES,650.0,350.0,0.25,1.0,1,2,325.0,175.0
MUNICIPALIDAD DE AVELLANEDA,SIERO BIBLIOTECA,300.0,700.0,0.25,1.0,1,2,150.0,350.0
MUNICIPALIDAD DE AVELLANEDA,DEFENSORES DE MORENO,0.0,700.0,0.25,1.0,1,2,0.0,350.0
LOS ANDES,SIERO BIBLIOTECA,750.0,250.0,0.25,1.0,1,2,375.0,125.0
BURZACO FC B,TALLERES,300.0,700.0,0.25,1.0,1,2,150.0,350.0
DEFENSORES DE MORENO,TALLERES,250.0,750.0,0.25,1.0,1,2,125.0,375.0
MUNICIPALIDAD DE AVELLANEDA,LOS ANDES,300.0,700.0,0.25,1.0,1,2,150.0,350.0
LOS ANDES,DEFENSORES DE MORENO,750.0,250.0,0.25,1.0,1,2,375.0,125.0
TALLERES,SIERO BIBLIOTECA,750.0,250.0,0.25,1.0,1,2,375.0,125.0
DEFENSORES DE MORENO,SIERO BIBLIOTECA,350.0,650.0,0.25,1.0,1,2,175.0,325.0
MUNICIPALIDAD DE AVELLANEDA,TALLERES,250.0,750.0,0.25,1.0,1,2,125.0,375.0
LOS ANDES,BURZACO FC B,700.0,300.0,0.25,1.0,1,2,350.0,150.0
BURZACO FC B,DEFENSORES DE MORENO,350.0,650.0,0.25,1.0,1,2,175.0,325.0
TALLERES,LOS ANDES,350.0,650.0,0.25,1.0,1,2,175.0,325.0
SIERO BIBLIOTECA,MUNICIPALIDAD DE AVELLANEDA,700.0,300.0,0.25,1.0,1,2,350.0,150.0
COLON FC,MORENO DE QUILMES,300.0,700.0,0.25,1.0,1,2,150.0,350.0
DEFENSORES DE BANFIELD,BOCA JUNIORS AMARILLO,350.0,650.0,0.25,1.0,1,2,175.0,325.0
BOCA JUNIORS AMARILLO,COLON FC,750.0,250.0,0.25,1.0,1,2,375.0,125.0
MORENO DE QUILMES,INSTITUTO GLEW,250.0,750.0,0.25,1.0,1,2,125.0,375.0
INSTITUTO GLEW,BOCA JUNIORS AMARILLO,250.0,750.0,0.25,1.0,1,2,125.0,375.0
COLON FC,DEFENSORES DE BANFIELD,250.0,750.0,0.25,1.0,1,2,125.0,375.0
DEFENSORES DE BANFIELD,INSTITUTO GLEW,750.0,250.0,0.25,1.0,1,2,375.0,125.0
BOCA JUNIORS AMARILLO,MORENO DE QUILMES,750.0,250.0,0.25,1.0,1,2,375.0,125.0
MORENO DE QUILMES,DEFENSORES DE BANFIELD,250.0,750.0,0.25,1.0,1,2,125.0,375.0
INSTITUTO GLEW,COLON FC,750.0,250.0,0.25,1.0,1,2,375.0,125.0
MORENO DE QUILMES,COLON FC,300.0,700.0,0.25,1.0,1,2,150.0,350.0
BOCA JUNIORS AMARILLO,DEFENSORES DE BANFIELD,350.0,650.0,0.25,1.0,1,2,175.0,325.0
COLON FC,BOCA JUNIORS AMARILLO,250.0,750.0,0.25,1.0,1,2,125.0,375.0
INSTITUTO GLEW,MORENO DE QUILMES,750.0,250.0,0.25,1.0,1,2,375.0,125.0
BOCA JUNIORS AMARILLO,INSTITUTO GLEW,750.0,250.0,0.25,1.0,1,2,375.0,125.0
DEFENSORES DE BANFIELD,COLON FC,750.0,250.0,0.25,1.0,1,2,375.0,125.0
INSTITUTO GLEW,DEFENSORES DE BANFIELD,250.0,750.0,0.25,1.0,1,2,125.0,375.0
MORENO DE QUILMES,BOCA JUNIORS AMARILLO,250.0,750.0,0.25,1.0,1,2,125.0,375.0
DEFENSORES DE BANFIELD,MORENO DE QUILMES,700.0,0.0,0.25,1.0,1,2,350.0,0.0
COLON FC,INSTITUTO GLEW,250.0,750.0,0.25,1.0,1,2,125.0,375.0
COOPERARIOS,VILLEGAS BASQUET,350.0,650.0,0.25,1.0,1,2,175.0,325.0
VILLA IDEAL,G.E DE LOMAS DE ZAMORA B,350.0,650.0,0.25,1.0,1,2,175.0,325.0
G.E DE LOMAS DE ZAMORA B,COOPERARIOS,650.0,350.0,0.25,1.0,1,2,325.0,175.0
VILLEGAS BASQUET,OLIMPO,250.0,750.0,0.25,1.0,1,2,125.0,375.0
OLIMPO,G.E DE LOMAS DE ZAMORA B,750.0,250.0,0.25,1.0,1,2,375.0,125.0
COOPERARIOS,VILLA IDEAL,350.0,650.0,0.25,1.0,1,2,175.0,325.0
VILLA IDEAL,OLIMPO,250.0,750.0,0.25,1.0,1,2,125.0,375.0
VILLEGAS BASQUET,VILLA IDEAL,650.0,350.0,0.25,1.0,1,2,325.0,175.0
OLIMPO,COOPERARIOS,750.0,250.0,0.25,1.0,1,2,375.0,125.0
VILLEGAS BASQUET,COOPERARIOS,750.0,250.0,0.25,1.0,1,2,375.0,125.0
G.E DE LOMAS DE ZAMORA B,VILLA IDEAL,300.0,700.0,0.25,1.0,1,2,150.0,350.0
COOPERARIOS,G.E DE LOMAS DE ZAMORA B,350.0,650.0,0.25,1.0,1,2,175.0,325.0
OLIMPO,VILLEGAS BASQUET,750.0,250.0,0.25,1.0,1,2,375.0,125.0
G.E DE LOMAS DE ZAMORA B,OLIMPO,250.0,750.0,0.25,1.0,1,2,125.0,375.0
VILLA IDEAL,COOPERARIOS,750.0,250.0,0.25,1.0,1,2,375.0,125.0
OLIMPO,VILLA IDEAL,700.0,300.0,0.25,1.0,1,2,350.0,150.0
VILLEGAS BASQUET,G.E DE LOMAS DE ZAMORA B,750.0,250.0,0.25,1.0,1,2,375.0,125.0
VILLA IDEAL,VILLEGAS BASQUET,650.0,350.0,0.25,1.0,1,2,325.0,175.0
COOPERARIOS,OLIMPO,250.0,750.0,0.25,1.0,1,2,125.0,375.0
ITALIANO DE JOSE C PAZ,RAMOS MEJIA LTC B,700.0,0.0,0.25,1.0,1,2,350.0,0.0
DEP. MORON BLANCO,ARGENTINO DE CASTELAR CENTRO,650.0,350.0,0.25,1.0,1,2,325.0,175.0
MORON B,C.A.S.A PADUA B,350.0,650.0,0.25,1.0,1,2,175.0,325.0
Club GEI BLANCO,ALTE. BROWN,350.0,650.0,0.25,1.0,1,2,175.0,325.0
Club GEI BLANCO,ITALIANO DE JOSE C PAZ,650.0,350.0,0.25,1.0,1,2,325.0,175.0
ALTE. BROWN,MORON B,300.0,700.0,0.25,1.0,1,2,150.0,350.0
C.A.S.A PADUA B,DEP. MORON BLANCO,300.0,700.0,0.25,1.0,1,2,150.0,350.0
ARGENTINO DE CASTELAR CENTRO,RAMOS MEJIA LTC B,750.0,250.0,0.25,1.0,1,2,375.0,125.0
ITALIANO DE JOSE C PAZ,ARGENTINO DE CASTELAR CENTRO,300.0,700.0,0.25,1.0,1,2,150.0,350.0
RAMOS MEJIA LTC B,C.A.S.A PADUA B,300.0,700.0,0.25,1.0,1,2,150.0,350.0
DEP. MORON BLANCO,ALTE. BROWN,750.0,250.0,0.25,1.0,1,2,375.0,125.0
MORON B,Club GEI BLANCO,700.0,300.0,0.25,1.0,1,2,350.0,150.0
MORON B,ITALIANO DE JOSE C PAZ,300.0,700.0,0.25,1.0,1,2,150.0,350.0
Club GEI BLANCO,DEP. MORON BLANCO,300.0,700.0,0.25,1.0,1,2,150.0,350.0
ALTE. BROWN,RAMOS MEJIA LTC B,350.0,650.0,0.25,1.0,1,2,175.0,325.0
C.A.S.A PADUA B,ARGENTINO DE CASTELAR CENTRO,250.0,750.0,0.25,1.0,1,2,125.0,375.0
ITALIANO DE JOSE C PAZ,C.A.S.A PADUA B,300.0,700.0,0.25,1.0,1,2,150.0,350.0
ARGENTINO DE CASTELAR CENTRO,ALTE. BROWN,750.0,250.0,0.25,1.0,1,2,375.0,125.0
RAMOS MEJIA LTC B,Club GEI BLANCO,700.0,300.0,0.25,1.0,1,2,350.0,150.0
DEP. MORON BLANCO,MORON B,750.0,250.0,0.25,1.0,1,2,375.0,125.0
ITALIANO DE JOSE C PAZ,DEP. MORON BLANCO,250.0,750.0,0.25,1.0,1,2,125.0,375.0
MORON B,RAMOS MEJIA LTC B,350.0,650.0,0.25,1.0,1,2,175.0,325.0
Club GEI BLANCO,ARGENTINO DE CASTELAR CENTRO,300.0,700.0,0.25,1.0,1,2,150.0,350.0
ALTE. BROWN,C.A.S.A PADUA B,0.0,0.0,0.25,1.0,1,2,0.0,0.0
