anio,ronda,nivel,zona,grupo,cantidad_tiras,equipos
2022.0,2da Fase,INTERCONFERENCIA,INTERCONFERENCIA,B,8,"ARGENTINO DE CASTELAR NORTE, BOCA JUNIORS AZUL, CIUDAD DE BUENOS AIRES A, GEVP BLANCO, INSTITUCION SARMIENTO VERDE, LANUS A, OBRAS CENTRO, RIVER PLATE"
2022.0,1ra Fase,1,NORTE,A,6,"BANCO NACIÓN, DEPORTIVO SAN ANDRES, RIVER PLATE, SAN FERNANDO AZUL, U.V.V.ADELINA, UNION FLORIDA"
2022.0,2da Fase,1,NORTE,A,8,"ATLETICO BOULOGNE, BANADE, CAZA Y PESCA A, CLUB SPORTIVO PILAR, DEPORTIVO SAN ANDRES, LAS HERAS A, NAUTICO BUCHARDO A, UNION FLORIDA"
2022.0,1ra Fase,1,NORTE,B,6,"ATLETICO BOULOGNE, CAZA Y PESCA A, CIUDAD DE BUENOS AIRES A, CLUB TRES DE FEBRERO BLANCO, NAUTICO HACOAJ BLANCO, OBRAS NORTE"
2022.0,2da Fase,1,NORTE,B,8,"BANCO NACIÓN, BANCO PROVINCIA, CLUB TRES DE FEBRERO BLANCO, NAUTICO HACOAJ BLANCO, SOCIAL BECCAR, SPORTIVO ESCOBAR, SPORTIVO VILLA BALLESTER, U.V.V.ADELINA"
2022.0,1ra Fase,2,NORTE,A,6,"BANCO PROVINCIA, CENTRO GALICIA, LAS HERAS A, NAUTICO BUCHARDO A, SPORTIVO VILLA BALLESTER, UNION VECINAL DE MUNRO"
2022.0,2da Fase,2,NORTE,A,8,"CLUB TRES DE FEBRERO AZUL, COOPERATIVA TORTUGUITAS, DEP. MORON ROJO, LAS HERAS B, NAUTICO HACOAJ AZUL, PLATENSE BLANCO, PORTEÑO ATLETICO CLUB, UNION VECINAL DE MUNRO"
2022.0,1ra Fase,2,NORTE,B,6,"BANADE, CLUB SPORTIVO PILAR, HEBRAICA, PLATENSE BLANCO, SOCIAL BECCAR, SPORTIVO ESCOBAR"
2022.0,2da Fase,2,NORTE,B,7,"CAZA Y PESCA B, CENTRO GALICIA, CLUB 12 DE OCTUBRE, HEBRAICA, NAUTICO BUCHARDO B, SAN FERNANDO BLANCO, VICTORIA"
2022.0,1ra Fase,3,NORTE,A,5,"DEP. MORON ROJO, LAS HERAS B, NAUTICO BUCHARDO B, PORTEÑO ATLETICO CLUB, SAN FERNANDO BLANCO"
2022.0,1ra Fase,3,NORTE,B,6,"CAZA Y PESCA B, CLUB 12 DE OCTUBRE, CLUB TRES DE FEBRERO AZUL, COOPERATIVA TORTUGUITAS, NAUTICO HACOAJ AZUL, VICTORIA"
2022.0,1ra Fase,1,OESTE,A,6,"Club GEI AZUL, ESTUDIANTIL PORTEÑO A, INSTITUCION SARMIENTO VERDE, LOS INDIOS DE MORENO NEGRO, MORON A, RAMOS MEJIA LTC"
2022.0,2da Fase,1,OESTE,A,8,"CLARIDAD, Club GEI AZUL, DEFENSORES DE HURLINGHAM VERDE, DEP. MORON BLANCO, ESTUDIANTIL PORTEÑO A, HURACAN DE SAN JUSTO ROJO, LEANDRO N ALEM, MIDLAND"
2022.0,1ra Fase,1,OESTE,B,6,"A.F.A.L.P. A, ARGENTINO DE CASTELAR NORTE, C.A.S.A PADUA A, HURACAN DE SAN JUSTO ROJO, LEANDRO N ALEM, UNITARIOS DE MARCOS PAZ"
2022.0,2da Fase,1,OESTE,B,8,"A.F.A.L.P. A, CEDEM, ESTUDIANTIL PORTEÑO B, LOS INDIOS DE MORENO BLANCO, MORON A, PRESIDENTE DERQUI, RAMOS MEJIA LTC, UNITARIOS DE MARCOS PAZ"
2022.0,1ra Fase,2,OESTE,A,6,"CEDEM, CLARIDAD, DEP. MORON BLANCO, MIDLAND, NOLTING, UNLAM A"
2022.0,2da Fase,2,OESTE,A,8,"ARGENTINO DE CASTELAR CENTRO, C.A.S.A PADUA B, CENTRO ESPAÑOL, CLUB PORTUGUES DEL GRAN BUENOS AIRES, DEFENSORES DE SANTOS LUGARES, ITALIANO DE JOSE C PAZ, NOLTING, SITAS"
2022.0,1ra Fase,2,OESTE,B,6,"C.A.S.A PADUA B, DEFENSORES DE HURLINGHAM VERDE, EL PALOMAR, ESTUDIANTIL PORTEÑO B, LOS INDIOS DE MORENO BLANCO, PRESIDENTE DERQUI"
2022.0,2da Fase,2,OESTE,B,8,"A.F.A.L.P. B, CIUDADELA NORTE, Club GEI BLANCO, EL PALOMAR, HURACAN DE SAN JUSTO BLANCO, MORON B, SAN MIGUEL, UNLAM A"
2022.0,1ra Fase,3,OESTE,A,6,"A.F.A.L.P. B, ARGENTINO DE CASTELAR CENTRO, CLUB PORTUGUES DEL GRAN BUENOS AIRES, Club GEI BLANCO, DEFENSORES DE SANTOS LUGARES, SAN MIGUEL"
2022.0,1ra Fase,3,OESTE,B,6,"CENTRO ESPAÑOL, CIUDADELA NORTE, HURACAN DE SAN JUSTO BLANCO, ITALIANO DE JOSE C PAZ, MORON B, SITAS"
2022.0,1ra Fase,1,SUR,A,6,"CAÑUELAS FC, G.E DE LOMAS DE ZAMORA A, LANUS A, MONTE GRANDE, RACING CLUB, TRISTAN SUAREZ"
2022.0,2da Fase,1,SUR,A,8,"BURZACO FC A, CAÑUELAS FC, DEFENSORES DE GLEW, LANUS B, QUILMES A.C., TEMPERLEY, TRISTAN SUAREZ, VARELA JRS"
2022.0,1ra Fase,1,SUR,B,6,"BERAZATEGUI, BOCA JUNIORS AZUL, INDEPENDIENTE, QUILMES A.C., TEMPERLEY, WILDE SPORTING"
2022.0,2da Fase,1,SUR,B,8,"BERAZATEGUI, CLUB ATLETICO BERNAL, CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL, COUNTRY CIB, INDEPENDIENTE, MONTE GRANDE, OLIMPO, RACING CLUB"
2022.0,1ra Fase,2,SUR,A,6,"BURZACO FC A, COUNTRY CIB, INDEPENDIENTE DE BURZACO, OLIMPO, VARELA JRS, VILLEGAS BASQUET"
2022.0,2da Fase,2,SUR,A,8,"BOCA JUNIORS AMARILLO, CLUB EL FOGON, CLUB GIMNASIA Y ESGRIMA LA PLATA BLANCO, COOPERARIOS, DEFENSORES DE BANFIELD, SPORTIVO ALSINA ORO, TAPONAZO  FUTBOL CLUB, VILLEGAS BASQUET"
2022.0,1ra Fase,2,SUR,B,6,"CLUB ATLETICO BERNAL, CLUB GIMNASIA Y ESGRIMA LA PLATA AZUL, DEFENSORES DE BANFIELD, DEFENSORES DE GLEW, LANUS B, SOCIAL LANUS"
2022.0,2da Fase,2,SUR,B,8,"CLUB SOCIAL ALEJANDRO KORN, CLUB SOCIAL EZEIZA, COLON FC, G.E DE LOMAS DE ZAMORA B, INDEPENDIENTE DE BURZACO, LOBOS ATHLETIC CLUB, LOS ANDES, SOCIAL LANUS"
2022.0,1ra Fase,3,SUR,A,5,"BOCA JUNIORS AMARILLO, CLUB GIMNASIA Y ESGRIMA LA PLATA BLANCO, COOPERARIOS, LA UNION, VILLA ESPAÑA"
